Anger,"mad, irritated, upset, furious, rage, hate, annoyed, resentful, bitter, offended, infuriated, heated, short-tempered, yelling, hostile"
Anxiety,"nervous, anxious, uneasy, worried, tense, fearful, panic, restless, overthinking, dread, scared, uneasy, uncertain, shaking, overwhelmed"
Comparison,"compare, jealous, envy, less than, not enough, insecure, competing, measuring up, inferior, behind, pressure, self-worth, validation, better, worse"
Community,"friends, belonging, fellowship, togetherness, support, connection, unity, acceptance, shared, group, family, people, inclusion, relationships, bond"
Confidence,"secure, bold, self-assured, courageous, brave, strong, capable, proud, sure, believing in self, assertive, fearless, steady, grounded, stable"
Contentment,"peaceful, satisfied, grateful, calm, fulfilled, okay, thankful, settled, rest, enough, ease, balance, quiet, serene, complete"
Courage,"brave, fearless, strong, bold, daring, risk, faith, determination, steadfast, confident, willing, stand firm, overcome, persevere, unafraid"
Crisis,"breakdown, collapse, lost control, can’t handle, emergency, chaos, disaster, panic, breaking point, overwhelmed, desperate, turning point, trouble, danger, urgent"
Depression,"sad, hopeless, worthless, empty, numb, tired, broken, crying, despair, dark, unmotivated, hurt, heavy, lost, drained"
Destiny,"purpose, calling, plan, future, will, direction, fate, reason, divine path, journey, mission, assignment, promise, guidance, meaning"
Determination,"drive, perseverance, persistence, effort, resolve, grit, endurance, commitment, focused, goal, ambition, push through, strength, willpower, discipline"
Discipline,"self-control, structure, obedience, order, restraint, diligence, consistency, training, focus, accountability, correction, rules, boundaries, maturity, patience"
Doubt,"unsure, uncertain, questioning, skeptical, disbelief, hesitation, wavering, second-guessing, confused, unclear, mistrust, fear, lost faith, reluctant, hesitant"
Effort,"work, strive, push, try, dedication, perseverance, energy, diligence, persistence, labor, commitment, drive, sacrifice, persistence, grind"
Exhaustion,"tired, weary, drained, fatigue, burnt out, empty, weak, worn out, no energy, can’t go on, heavy, collapse, overworked, sleep, rest"
Faith,"belief, trust, hope, unseen, confident, surrender, spiritual, assurance, dependence, obedience, conviction, prayer, devotion, steadfast, confidence"
Fear,"afraid, scared, terrified, anxious, nervous, panic, dread, alarmed, worried, frightened, uneasy, danger, insecure, threatened, tense"
Frustration,"annoyed, upset, irritated, stuck, fed up, angry, overwhelmed, tired, nothing works, hopeless, blocked, impatient, restless, disappointed, tense"
Guidance,"direction, wisdom, counsel, advice, lead, show me, path, clarity, discernment, decision, help, understanding, light, truth, insight"
Gratitude,"thankful, appreciation, blessed, grateful, thankful heart, recognize good, joy, content, satisfied, give thanks, praise, humility, thankful spirit, glad, peace"
Grief,"loss, mourning, sorrow, death, pain, tears, heartbreak, miss them, funeral, gone, sadness, regret, crying, heavy heart, loneliness"
Guilt,"ashamed, regret, sorry, wrong, mistake, sin, failure, blame, unworthy, remorse, confession, burden, convicted, bad, forgiveness"
Hope,"optimism, trust, faith, belief, expectation, new beginning, future, light, waiting, perseverance, encouragement, purpose, courage, positive, restoration"
Hopelessness,"despair, no way out, worthless, giving up, nothing matters, darkness, empty, lost, depressed, broken, tired, failed, defeated, can’t see light, numb"
Housing,"home, shelter, place to stay, roof, apartment, homeless, rent, moving, safe place, stability, need help, residence, security, need a home, living space, housing"
Joy,"happy, delighted, glad, cheerful, laughter, celebration, grateful, thankful, content, excitement, positive, peace, satisfaction, lighthearted, uplifted"
Loneliness,"alone, isolated, nobody, unwanted, forgotten, disconnected, friendless, unseen, distant, empty, abandoned, separated, ignored, unloved, apart"
Love,"care, compassion, affection, heart, kindness, relationship, devotion, forgiveness, connection, warmth, support, empathy, unconditional, cherish, belonging"
Money,"finance, income, bills, debt, job, wealth, broke, pay, budget, greed, poverty, economy, giving, savings, spending, stewardship"
Obedience,"follow, listen, submit, surrender, do right, command, respect, discipline, humility, rules, law, faithfulness, trust, yield, comply"
Overwhelmed,"too much, can’t handle, drowning, stressed, pressure, burden, exhausted, chaos, anxious, panic, full plate, tired, breaking down, lost, burnout"
Patience,"waiting, endurance, calm, still, slow, long time, persistence, gentle, delay, peace, understanding, temper, tolerance, perseverance, quiet"
Peace,"calm, still, rest, quiet, serenity, no worry, harmony, stability, comfort, gentle, relief, forgiveness, ease, reassurance, faith"
Pride,"ego, arrogant, boast, self-centered, vain, self-righteous, better than, haughty, confident, conceited, superiority, recognition, status, self-importance, independent"
Purpose,"meaning, direction, calling, plan, destiny, will, goal, reason, why, vision, fulfillment, identity, impact, intention, motivation"
Rejection,"left out, unwanted, ignored, excluded, abandoned, unloved, dismissed, betrayed, forgotten, disapproved, misunderstood, hurt, outsider, alone, unseen"
Regret,"sorry, mistake, guilt, wish I didn’t, remorse, past, failure, loss, repentance, shame, pain, sadness, consequence, memory, confession"
